iter	Passed	Remaining
0	132	132225
1	219	109484
2	307	102183
3	385	95908
4	466	92816
5	544	90197
6	639	90715
7	761	94415
8	842	92785
9	924	91494
10	1007	90561
11	1078	88763
12	1147	87152
13	1218	85817
14	1292	84897
15	1362	83785
16	1434	82935
17	1505	82129
18	1574	81280
19	1642	80459
20	1712	79841
21	1781	79190
22	1882	79977
23	2012	81827
24	2078	81055
25	2145	80380
26	2222	80086
27	2296	79733
28	2366	79246
29	2448	79154
30	2525	78947
31	2589	78343
32	2664	78088
33	2760	78436
34	2842	78372
35	2916	78093
36	2995	77959
37	3062	77519
38	3129	77107
39	3196	76713
40	3291	76988
41	3370	76873
42	3442	76609
43	3508	76225
44	3581	76007
45	3652	75747
46	3735	75738
47	3795	75278
48	3863	74984
49	3948	75019
50	4025	74905
51	4084	74470
52	4150	74160
53	4208	73731
54	4278	73519
55	4340	73170
56	4398	72761
57	4457	72391
58	4519	72074
59	4600	72073
60	4710	72505
61	4774	72230
62	4841	72003
63	4916	71897
64	4967	71456
65	5026	71136
66	5097	70983
67	5158	70700
68	5223	70474
69	5313	70591
70	5453	71362
71	5551	71558
72	5669	71989
73	5812	72731
74	5934	73193
75	6063	73725
76	6162	73873
77	6314	74643
78	6420	74854
79	6512	74893
80	6595	74832
81	6695	74957
82	6781	74924
83	6881	75038
84	7037	75757
85	7179	76308
86	7271	76304
87	7352	76200
88	7403	75785
89	7458	75414
90	7517	75088
91	7578	74794
92	7636	74478
93	7698	74203
94	7758	73913
95	7816	73601
96	7866	73228
97	7920	72897
98	7983	72656
99	8045	72410
100	8101	72111
101	8155	71799
102	8235	71723
103	8315	71637
104	8365	71302
105	8419	71013
106	8473	70715
107	8526	70420
108	8587	70196
109	8652	70002
110	8711	69774
111	8786	69661
112	8850	69468
113	8915	69293
114	8972	69048
115	9051	68979
116	9126	68876
117	9194	68726
118	9298	68842
119	9375	68753
120	9472	68814
121	9537	68637
122	9598	68438
123	9662	68261
124	9723	68067
125	9778	67831
126	9832	67589
127	9886	67352
128	9942	67129
129	10002	66941
130	10096	66973
131	10213	67163
132	10291	67086
133	10357	66940
134	10437	66877
135	10534	66921
136	10597	66754
137	10726	67002
138	10805	66932
139	10881	66841
140	10970	66833
141	11051	66778
142	11164	66911
143	11306	67210
144	11422	67356
145	11511	67334
146	11601	67318
147	11686	67276
148	11759	67163
149	11832	67051
150	11937	67120
151	12038	67162
152	12132	67166
153	12230	67188
154	12322	67175
155	12382	66994
156	12448	66843
157	12547	66864
158	12621	66760
159	12684	66595
160	12745	66419
161	12819	66311
162	12895	66219
163	13011	66327
164	13136	66476
165	13302	66831
166	13454	67108
167	13547	67092
168	13617	66961
169	13694	66859
170	13784	66827
171	13875	66793
172	13952	66697
173	14032	66613
174	14128	66604
175	14246	66701
176	14332	66643
177	14415	66570
178	14517	66584
179	14600	66512
180	14676	66409
181	14743	66264
182	14795	66053
183	14855	65881
184	14912	65697
185	14970	65517
186	15049	65429
187	15124	65324
188	15219	65307
189	15427	65770
190	15544	65839
191	15602	65662
192	15659	65476
193	15745	65418
194	15831	65357
195	15915	65285
196	15993	65193
197	16067	65081
198	16130	64928
199	16201	64804
200	16341	64958
201	16413	64841
202	16496	64765
203	16560	64616
204	16607	64405
205	16664	64232
206	16720	64056
207	16783	63905
208	16831	63701
209	16886	63527
210	16932	63316
211	16983	63127
212	17037	62949
213	17091	62776
214	17141	62586
215	17191	62398
216	17246	62231
217	17302	62065
218	17356	61898
219	17414	61743
220	17492	61660
221	17546	61490
222	17599	61322
223	17648	61140
224	17758	61169
225	17824	61046
226	17889	60920
227	17952	60786
228	18019	60668
229	18095	60581
230	18258	60781
231	18369	60809
232	18434	60685
233	18505	60579
234	18572	60458
235	18638	60339
236	18708	60231
237	18774	60109
238	18866	60073
239	18959	60038
240	19038	59959
241	19087	59785
242	19144	59640
243	19201	59494
244	19255	59337
245	19307	59177
246	19356	59010
247	19411	58859
248	19470	58725
249	19553	58661
250	19639	58604
251	19696	58463
252	19756	58331
253	19811	58186
254	19858	58016
255	19909	57861
256	19959	57703
257	20017	57569
258	20070	57421
259	20121	57267
260	20168	57105
261	20223	56965
262	20280	56830
263	20327	56670
264	20376	56517
265	20430	56376
266	20486	56241
267	20539	56101
268	20583	55936
269	20673	55896
270	20722	55743
271	20783	55627
272	20835	55484
273	20899	55376
274	20988	55333
275	21058	55241
276	21130	55152
277	21193	55042
278	21246	54906
279	21315	54810
280	21375	54692
281	21446	54606
282	21515	54510
283	21584	54417
284	21686	54407
285	21765	54337
286	21845	54270
287	21907	54161
288	21967	54044
289	22037	53954
290	22104	53855
291	22172	53760
292	22249	53686
293	22312	53580
294	22375	53473
295	22438	53367
296	22500	53257
297	22575	53181
298	22655	53114
299	22727	53029
300	22803	52955
301	22876	52874
302	22950	52793
303	23012	52687
304	23076	52584
305	23151	52506
306	23224	52425
307	23284	52314
308	23356	52230
309	23434	52159
310	23507	52079
311	23573	51982
312	23633	51871
313	23711	51803
314	23805	51768
315	23885	51700
316	23964	51633
317	24042	51562
318	24113	51478
319	24181	51386
320	24257	51310
321	24331	51232
322	24399	51139
323	24470	51054
324	24536	50960
325	24609	50880
326	24681	50796
327	24744	50695
328	24832	50645
329	24903	50561
330	24983	50494
331	25063	50428
332	25137	50349
333	25200	50249
334	25259	50142
335	25317	50032
336	25385	49942
337	25463	49872
338	25527	49773
339	25593	49681
340	25664	49597
341	25726	49497
342	25790	49400
343	25879	49351
344	25957	49282
345	26024	49190
346	26083	49085
347	26143	48981
348	26209	48888
349	26273	48794
350	26331	48686
351	26396	48592
352	26463	48503
353	26530	48413
354	26603	48336
355	26675	48256
356	26742	48165
357	26809	48078
358	26871	47979
359	26935	47885
360	27002	47796
361	27078	47723
362	27145	47635
363	27210	47542
364	27284	47468
365	27359	47393
366	27435	47321
367	27516	47256
368	27596	47190
369	27666	47107
370	27736	47025
371	27811	46951
372	27874	46855
373	27976	46826
374	28065	46775
375	28134	46691
376	28204	46609
377	28279	46533
378	28348	46449
379	28429	46384
380	28494	46294
